s_no,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Vijayawada to Hyderabad,APSRTC - 3525,Super Luxury (Non AC Seater 2+2 Push Back),15:00,23:00,08h 00m,469,29,3
1,Vijayawada to Hyderabad,APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:00,20:00,05h 00m,720,37,3.9
2,Vijayawada to Hyderabad,APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:45,23:37,05h 52m,720,42,4.4
3,Vijayawada to Hyderabad,APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30,00:30,06h 00m,720,41,3.7
4,Vijayawada to Hyderabad,APSRTC - 3613,Super Luxury (Non AC Seater 2+2 Push Back),19:00,02:42,07h 42m,469,32,3.1
5,Vijayawada to Hyderabad,APSRTC - 9316,Super Luxury (Non AC Seater 2+2 Push Back),20:20,04:10,07h 50m,469,29,4
6,Vijayawada to Hyderabad,APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30,01:05,04h 35m,720,29,4.2
7,Vijayawada to Hyderabad,APSRTC - 4046,Super Luxury (Non AC Seater 2+2 Push Back),21:00,03:40,06h 40m,469,17,4.2
8,Vijayawada to Hyderabad,APSRTC - 9651,Super Luxury (Non AC Seater 2+2 Push Back),21:00,04:41,07h 41m,469,24,4.2
9,Vijayawada to Hyderabad,APSRTC - 9932,STAR LINER(NON-AC SLEEPER 2+1),21:30,03:45,06h 15m,607,13,5
10,Vijayawada to Hyderabad,APSRTC - 9654,Super Luxury (Non AC Seater 2+2 Push Back),21:40,05:20,07h 40m,469,21,3.8
11,Vijayawada to Hyderabad,APSRTC - 40568,Super Luxury (Non AC Seater 2+2 Push Back),21:42,06:00,08h 18m,456,25,4.5
12,Vijayawada to Hyderabad,APSRTC - 3916,Super Luxury (Non AC Seater 2+2 Push Back),21:45,02:50,05h 05m,469,14,4.2
13,Vijayawada to Hyderabad,APSRTC - 35179,VENNELA (A.C. SLEEPER),21:45,02:20,04h 35m,839,14,4
14,Vijayawada to Hyderabad,APSRTC - 3860,INDRA(A.C. Seater),21:45,03:59,06h 14m,567,35,4
15,Vijayawada to Hyderabad,APSRTC - 39658,Super Luxury (Non AC Seater 2+2 Push Back),21:55,05:00,07h 05m,456,29,4.2
16,Vijayawada to Hyderabad,APSRTC - 3908,Super Luxury (Non AC Seater 2+2 Push Back),22:00,04:25,06h 25m,480,27,3.6
17,Vijayawada to Hyderabad,APSRTC - 4320,INDRA(A.C. Seater),22:00,04:25,06h 25m,567,32,3.5
18,Vijayawada to Hyderabad,APSRTC - 2560,INDRA(A.C. Seater),22:00,02:00,04h 00m,528,21,3.9
19,Vijayawada to Hyderabad,APSRTC - 4048,Super Luxury (Non AC Seater 2+2 Push Back),22:00,04:20,06h 20m,469,27,4.4
20,Vijayawada to Hyderabad,APSRTC - 35155,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:00,03:42,05h 42m,720,40,4
21,Vijayawada to Hyderabad,APSRTC - 3970,Super Luxury (Non AC Seater 2+2 Push Back),22:05,05:20,07h 15m,456,13,4
22,Vijayawada to Hyderabad,APSRTC - 35118,INDRA(A.C. Seater),22:05,04:50,06h 45m,567,32,3.9
23,Vijayawada to Hyderabad,APSRTC - 4792,INDRA(A.C. Seater),22:05,05:10,07h 05m,567,17,3.3
24,Vijayawada to Hyderabad,APSRTC - 3575,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:15,04:40,06h 25m,708,35,4.1
25,Vijayawada to Hyderabad,APSRTC - 35265,VENNELA (A.C. SLEEPER),22:15,02:50,04h 35m,839,18,2.9
26,Vijayawada to Hyderabad,APSRTC - 3635,Super Luxury (Non AC Seater 2+2 Push Back),22:20,04:55,06h 35m,469,15,4.2
27,Vijayawada to Hyderabad,APSRTC - 3943,Super Luxury (Non AC Seater 2+2 Push Back),22:25,05:25,07h 00m,456,19,3.4
28,Vijayawada to Hyderabad,APSRTC - 35063,Super Luxury (Non AC Seater 2+2 Push Back),22:25,06:10,07h 45m,456,25,3.9
29,Vijayawada to Hyderabad,APSRTC - 3910,INDRA(A.C. Seater),22:30,03:05,04h 35m,567,34,3.5
30,Vijayawada to Hyderabad,APSRTC - 3696,STAR LINER(NON-AC SLEEPER 2+1),22:30,04:25,05h 55m,591,11,4.4
31,Vijayawada to Hyderabad,APSRTC - 3633,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:30,04:10,05h 40m,720,37,4.1
32,Vijayawada to Hyderabad,APSRTC - 95660,Super Luxury (Non AC Seater 2+2 Push Back),22:40,05:15,06h 35m,446,6,2.2
33,Vijayawada to Hyderabad,APSRTC - 4350,STAR LINER(NON-AC SLEEPER 2+1),22:45,04:16,05h 31m,565,17,3.9
34,Vijayawada to Hyderabad,APSRTC - 3509,INDRA(A.C. Seater),22:45,04:59,06h 14m,567,29,4.2
35,Vijayawada to Hyderabad,APSRTC - 3609,Super Luxury (Non AC Seater 2+2 Push Back),22:46,06:40,07h 54m,456,24,4.1
36,Vijayawada to Hyderabad,APSRTC - 3961,INDRA(A.C. Seater),22:55,05:25,06h 30m,551,24,4.1
37,Vijayawada to Hyderabad,APSRTC - 3694,Super Luxury (Non AC Seater 2+2 Push Back),22:55,06:15,07h 20m,456,13,4.6
38,Vijayawada to Hyderabad,APSRTC - 3968,INDRA(A.C. Seater),22:55,05:05,06h 10m,551,22,2.6
39,Vijayawada to Hyderabad,APSRTC - 3692,NIGHT RIDER (SEATER CUM SLEEPER),22:55,05:35,06h 40m,622,25,3.6
40,Vijayawada to Hyderabad,APSRTC - 3533,Super Luxury (Non AC Seater 2+2 Push Back),23:00,05:10,06h 10m,448,31,4
41,Vijayawada to Hyderabad,APSRTC - 4893,Super Luxury (Non AC Seater 2+2 Push Back),23:00,05:20,06h 20m,469,20,3.9
42,Vijayawada to Hyderabad,APSRTC - 3900,Super Luxury (Non AC Seater 2+2 Push Back),23:00,04:20,05h 20m,469,16,4.3
43,Vijayawada to Hyderabad,APSRTC - 3888,VENNELA (A.C. SLEEPER),23:00,03:35,04h 35m,839,19,4
44,Vijayawada to Hyderabad,APSRTC - 3569,INDRA(A.C. Seater),23:00,03:46,04h 46m,567,31,3.9
